time,ax,ay,az
2.006500005722046,0.0,-0.09,0.39,0.4
2.0422959327697754,0.01,-0.12,0.01,0.12
2.0441229343414307,0.05,-0.1,-0.02,0.11
2.0451109409332275,-0.01,-0.06,-0.07,0.09
2.0467541217803955,-0.02,-0.04,0.03,0.05
2.056349992752075,0.1,-0.07,0.27,0.29
2.0662710666656494,0.03,0.01,0.09,0.09
2.076415777206421,-0.03,0.04,-0.11,0.12
2.0862138271331787,-0.06,0.11,-0.13,0.18
2.096410036087036,-0.09,0.11,-0.39,0.41
2.1069281101226807,-0.09,0.06,0.02,0.1
2.1453959941864014,0.0,0.0,0.28,0.28
2.1472599506378174,-0.02,-0.05,-0.05,0.07
2.1486449241638184,-0.04,0.01,0.17,0.17
2.150298833847046,-0.01,0.02,0.2,0.2
2.1564879417419434,-0.09,0.07,-0.09,0.14
2.1666719913482666,-0.01,0.03,-0.13,0.13
2.1768767833709717,0.04,-0.02,-0.03,0.05
2.1865451335906982,0.03,-0.06,-0.02,0.06
2.196781873703003,0.0,-0.08,0.17,0.18
2.2069590091705322,-0.01,-0.05,0.24,0.24
2.243583917617798,-0.04,0.01,0.02,0.04
2.245495080947876,-0.03,0.04,-0.06,0.07
2.246975898742676,-0.04,0.05,-0.03,0.07
2.248408079147339,-0.01,0.01,-0.06,0.06
2.256873846054077,0.01,-0.01,0.07,0.07
2.2670328617095947,0.02,0.0,0.18,0.18
2.2771389484405518,0.03,0.03,0.18,0.18
2.2868969440460205,0.01,0.03,0.09,0.09
2.2972309589385986,-0.01,0.01,0.08,0.08
2.3071610927581787,-0.04,0.03,0.01,0.05
2.344733953475952,-0.02,0.05,-0.04,0.06
2.3466198444366455,-0.02,0.05,0.08,0.09
2.347822904586792,-0.03,0.03,0.2,0.2
2.349236011505127,-0.08,0.02,0.1,0.12
2.3573169708251953,-0.07,-0.01,-0.01,0.07
2.3673651218414307,-0.08,-0.03,-0.05,0.09
2.377654790878296,-0.13,0.0,-0.2,0.23
2.387420892715454,-0.14,0.02,-0.2,0.24
2.3976359367370605,-0.12,0.03,-0.09,0.15
2.407533884048462,-0.12,0.02,0.0,0.12
2.444973945617676,-0.14,0.02,-0.15,0.2
2.446668863296509,-0.1,-0.02,-0.16,0.18
2.448003053665161,-0.08,-0.03,-0.03,0.09
2.449554920196533,-0.11,0.0,-0.1,0.14
2.4576709270477295,-0.11,0.01,-0.29,0.31
2.467665910720825,-0.11,0.01,-0.25,0.27
2.4779140949249268,-0.04,0.0,-0.21,0.21
2.4876139163970947,0.01,0.04,-0.05,0.06
2.4978530406951904,-0.04,0.09,0.06,0.11
2.5078399181365967,-0.08,0.09,0.11,0.16
2.534792900085449,-0.03,0.02,0.12,0.12
2.5362489223480225,-0.04,-0.04,0.01,0.05
2.53786301612854,0.02,-0.07,-0.06,0.09
2.5479958057403564,0.05,-0.03,0.1,0.11
2.5579099655151367,0.07,0.02,0.07,0.1
2.5678329467773438,0.06,0.04,-0.04,0.08
2.578204870223999,0.08,0.04,0.04,0.09
2.588178873062134,0.09,0.0,0.06,0.1
2.5982367992401123,0.03,-0.02,0.11,0.11
2.6084039211273193,0.03,-0.08,-0.02,0.08
2.6403300762176514,-0.05,-0.06,0.01,0.07
2.641597032546997,-0.04,-0.04,0.01,0.05
2.642462968826294,-0.02,0.0,0.01,0.02
2.6482861042022705,0.02,0.03,-0.1,0.1
2.6584908962249756,0.03,0.02,-0.13,0.13
2.6684699058532715,0.14,-0.02,-0.03,0.14
2.678802967071533,2.37,-0.25,-3.0,3.83
2.6886188983917236,4.04,-0.75,8.95,9.84
2.6985909938812256,-2.06,-0.51,-2.66,3.4
2.708717107772827,-2.79,1.12,-4.1,5.08
2.746361017227173,-2.86,0.96,-0.36,3.03
2.748347043991089,-0.27,0.06,-2.26,2.27
2.7495529651641846,1.07,-0.16,0.96,1.44
2.7511799335479736,1.82,-0.65,1.97,2.75
2.7589190006256104,0.91,-0.25,1.34,1.63
2.768906831741333,-0.24,0.31,-0.23,0.45
2.779064893722534,-0.85,0.59,-1.22,1.59
2.789005994796753,-0.79,0.19,-1.01,1.29
2.798961877822876,-0.15,-0.19,-0.41,0.47
2.8090860843658447,0.42,-0.32,0.26,0.58
2.846721887588501,0.48,-0.23,0.47,0.71
2.8485610485076904,0.16,-0.07,0.52,0.54
2.849803924560547,-0.22,0.04,0.3,0.37
2.851418972015381,-0.34,0.06,0.14,0.37
2.859273910522461,-0.19,0.05,-0.11,0.22
2.8693058490753174,0.1,0.03,0.0,0.1
2.879591941833496,0.19,0.03,0.08,0.2
2.8894739151000977,0.08,0.04,0.06,0.1
2.899446964263916,-0.06,0.01,0.13,0.14
2.909698009490967,-0.13,0.01,-0.04,0.13
2.9493439197540283,-0.06,0.01,-0.21,0.21
2.9510560035705566,0.07,-0.02,-0.24,0.25
2.9523680210113525,0.15,-0.05,-0.1,0.18
2.9537808895111084,0.09,-0.01,-0.16,0.18
2.9595048427581787,-0.01,0.05,-0.2,0.2
2.969425916671753,-0.1,0.09,-0.26,0.29
2.9797089099884033,-0.11,0.07,-0.17,0.21
2.9897921085357666,-0.07,0.02,0.0,0.07
2.9997050762176514,-0.01,-0.03,0.1,0.1
3.0098087787628174,0.01,-0.05,0.18,0.18
3.0470919609069824,-0.02,-0.05,0.04,0.06
3.048733949661255,-0.06,-0.05,0.12,0.14
3.049690008163452,-0.08,-0.05,0.12,0.15
3.0510239601135254,-0.04,-0.02,0.17,0.17
3.060112953186035,0.01,0.01,0.14,0.14
3.0699198246002197,0.04,0.02,0.06,0.07
3.080242872238159,0.04,0.03,-0.01,0.05
3.090261936187744,0.02,0.04,-0.06,0.07
3.1001060009002686,-0.02,0.06,-0.12,0.13
3.11010479927063,-0.03,0.04,-0.17,0.17
3.1469218730926514,-0.01,0.01,-0.06,0.06
3.148761034011841,0.01,-0.02,-0.06,0.06
3.1499478816986084,0.01,-0.04,-0.04,0.05
3.1512749195098877,0.01,-0.06,-0.03,0.06
3.1605098247528076,-0.01,-0.05,-0.04,0.06
3.170264959335327,-0.02,-0.01,-0.01,0.02
3.180655002593994,-0.01,0.04,0.09,0.09
3.1905248165130615,0.03,0.05,0.01,0.05
3.200488805770874,0.08,0.03,0.05,0.09
3.2105600833892822,0.1,0.0,0.1,0.14
3.2474849224090576,0.1,-0.02,0.18,0.2
3.249243974685669,0.07,-0.03,0.13,0.15
3.2507131099700928,0.05,0.0,0.15,0.15
3.252061128616333,0.03,0.02,0.1,0.1
3.260701894760132,0.01,0.06,-0.01,0.06
3.270594835281372,0.01,0.08,-0.06,0.1
3.2810208797454834,0.0,0.06,-0.04,0.07
3.2907779216766357,0.01,0.07,0.02,0.07
3.300955057144165,0.0,0.0,-0.04,0.04
3.3110549449920654,-0.04,-0.03,0.1,0.11
3.347761869430542,-0.07,-0.03,0.08,0.11
3.3494389057159424,-0.08,-0.03,-0.07,0.11
3.3507089614868164,-0.08,0.01,0.0,0.08
3.3519580364227295,-0.23,0.02,-0.28,0.36
3.3612148761749268,-0.12,-0.02,-0.31,0.33
3.371076822280884,0.07,0.0,0.05,0.08
3.3814308643341064,0.02,0.0,0.11,0.11
3.391375780105591,-0.14,0.01,0.1,0.17
