time,ax,ay,az
0.6681480407714844,0.0,0.03,0.03,0.04
0.6832668781280518,-0.05,0.04,0.11,0.12
0.6839358806610107,-0.1,0.01,0.21,0.23
0.6993317604064941,-0.02,0.02,0.19,0.19
0.7003459930419922,0.07,-0.03,0.1,0.12
0.7158029079437256,0.06,-0.15,0.05,0.16
0.7167758941650391,0.14,-0.15,-0.03,0.2
0.7326807975769043,0.2,-0.11,-0.15,0.27
0.7341039180755615,0.16,-0.32,-0.01,0.35
0.7668399810791016,0.15,-0.35,0.21,0.43
0.7680320739746094,0.14,-0.25,0.27,0.39
0.7834908962249756,0.21,-0.17,0.15,0.3
0.7845368385314941,0.27,-0.14,-0.16,0.34
0.7998390197753906,0.23,-0.17,-0.26,0.38
0.800811767578125,0.2,-0.21,-0.04,0.29
0.8166370391845703,0.18,-0.25,0.13,0.33
0.8180758953094482,0.01,-0.23,0.09,0.24
0.8364858627319336,-0.09,-0.3,0.29,0.42
0.8422660827636719,-0.16,-0.26,0.25,0.39
0.8750438690185547,-0.02,0.0,0.23,0.23
0.8758320808410645,0.04,0.15,0.36,0.39
0.8830339908599854,-0.15,0.02,0.46,0.48
0.8836979866027832,-0.32,-0.09,0.5,0.6
0.8989768028259277,-0.21,-0.09,0.59,0.63
0.899561882019043,-0.11,-0.11,0.4,0.42
0.9152407646179199,-0.06,-0.01,-0.03,0.06
0.9162278175354004,0.14,0.18,-0.43,0.48
0.9317588806152344,0.39,0.17,-0.66,0.78
0.9327340126037598,0.44,-0.07,-0.55,0.7
0.9658899307250977,0.47,-0.32,-0.38,0.68
0.9671330451965332,0.52,-0.35,-0.05,0.62
0.9833369255065918,0.2,-0.38,-0.02,0.42
0.984367847442627,-0.35,-0.5,-0.43,0.74
1.0002529621124268,-0.44,-0.25,-0.64,0.81
1.001244068145752,-0.21,0.14,-0.37,0.44
1.0169110298156738,0.06,0.14,0.26,0.3
1.0181899070739746,-0.05,0.48,0.3,0.56
1.0349960327148438,0.07,0.71,0.44,0.83
1.0392260551452637,0.05,0.49,0.26,0.55
1.066823959350586,0.0,0.14,-0.16,0.21
1.0676429271697998,0.22,-0.15,-0.45,0.52
1.0835018157958984,0.56,-0.43,-0.81,1.07
1.0841679573059082,0.76,-0.65,-0.95,1.37
1.0993690490722656,0.74,-0.69,-1.14,1.52
1.1003539562225342,0.52,-0.58,-1.27,1.48
1.1157939434051514,0.29,-0.32,-1.16,1.23
1.1167628765106201,0.12,0.01,-1.01,1.01
1.132887840270996,0.03,0.27,-0.81,0.85
1.1342997550964355,-0.15,0.36,-0.33,0.51
1.1818838119506836,-0.48,0.46,0.27,0.71
1.1826438903808594,-0.7,0.63,0.64,1.13
1.2035069465637207,-0.66,0.78,0.62,1.19
1.2045331001281738,-0.55,0.73,0.52,1.05
